
—— fold 1/5 —————————————————————
[eval 00000]  loss = 0.844245
[eval 00800]  loss = -0.675500
[eval 00810]  loss = 3.523079
[eval 00820]  loss = -3.422049
[eval 00830]  loss = 0.244912
[eval 00840]  loss = -3.794930
[eval 00850]  loss = 4.333946
[eval 00860]  loss = -0.739943
[eval 00870]  loss = -1.896091
[eval 00880]  loss = 1.672013
[eval 00890]  loss = -1.792251
[eval 00900]  loss = -2.824368
[eval 00910]  loss = -2.383233
[eval 00920]  loss = 3.170406
[eval 00930]  loss = -4.094071
[eval 00940]  loss = -3.779757
[eval 00950]  loss = 0.163985
[eval 00960]  loss = -4.731219
[eval 00970]  loss = -4.739982
[eval 00980]  loss = 1.975058
[eval 00990]  loss = -3.920652
[eval 01000]  loss = -4.717196
[eval 01010]  loss = -2.809192
[eval 01020]  loss = -2.695533
[eval 01030]  loss = -4.773865
[eval 01040]  loss = -1.624570
[eval 01050]  loss = -4.670837
[eval 01060]  loss = -4.780459
[eval 01070]  loss = 0.318788
[eval 01080]  loss = 0.035743
[eval 01090]  loss = -4.933984
[eval 01100]  loss = -4.979924
[eval 01110]  loss = -0.825586
[eval 01120]  loss = -2.018281
[eval 01130]  loss = -4.985221
[eval 01140]  loss = 2.063116
[eval 01150]  loss = -1.832515
[eval 01160]  loss = -1.921011
[eval 01170]  loss = -4.837652
[eval 01180]  loss = -1.408817
[eval 01190]  loss = -3.866128
[eval 01200]  loss = -4.748997
[eval 01210]  loss = 1.245277
[eval 01220]  loss = -4.185340
[eval 01230]  loss = 2.811044
[eval 01240]  loss = -3.907957
[eval 01250]  loss = 3.174944
[eval 01260]  loss = -4.946549
[eval 01270]  loss = 0.357639
[eval 01280]  loss = 3.331660
[eval 01290]  loss = -3.742500
[eval 01300]  loss = -1.474374
[eval 01310]  loss = -1.823249
[eval 01320]  loss = 4.344417
[eval 01330]  loss = -1.108388
[eval 01340]  loss = 1.145874
[eval 01350]  loss = -5.030663
[eval 01360]  loss = -4.225208
[eval 01370]  loss = 4.978197
[eval 01380]  loss = -4.777757
[eval 01390]  loss = -2.286472
[eval 01400]  loss = -5.009577
[eval 01410]  loss = -1.418267
[eval 01420]  loss = -4.510075
[eval 01430]  loss = -5.104787
[eval 01440]  loss = 1.824926
[eval 01450]  loss = -5.132423
[eval 01460]  loss = -5.012198
[eval 01470]  loss = -1.168450
[eval 01480]  loss = -0.530441
[eval 01490]  loss = -5.399302
[eval 01500]  loss = -4.322700
[eval 01510]  loss = 1.748549
[eval 01520]  loss = 3.253132
[eval 01530]  loss = -5.255463
[eval 01540]  loss = 1.261708
[eval 01550]  loss = -5.011974
[eval 01560]  loss = -3.038608
[eval 01570]  loss = -5.443762
[eval 01580]  loss = -5.371440
[eval 01590]  loss = 2.736799
[eval 01600]  loss = -3.576399
[eval 01610]  loss = -4.972792
[eval 01620]  loss = -4.120890
[eval 01630]  loss = -2.936753
[eval 01640]  loss = 2.171814
[eval 01650]  loss = -4.989521
[eval 01660]  loss = 1.464984
[eval 01670]  loss = -5.262229
[eval 01680]  loss = -3.237033
[eval 01690]  loss = -2.539404
[eval 01700]  loss = -4.026708
[eval 01710]  loss = 2.164592
[eval 01720]  loss = -4.653300
[eval 01730]  loss = 0.977710
[eval 01740]  loss = -2.098964
[eval 01750]  loss = 3.735992
[eval 01760]  loss = -5.343901
[eval 01770]  loss = -2.074321
[eval 01780]  loss = 2.969060
[eval 01790]  loss = -4.169508
[eval 01800]  loss = -1.224814
[eval 01810]  loss = -2.767543
[eval 01820]  loss = -1.341265
[eval 01830]  loss = -3.918453
[eval 01840]  loss = -1.636351
[eval 01850]  loss = -5.394643
[eval 01860]  loss = -3.003673
[eval 01870]  loss = 3.039417
[eval 01880]  loss = -5.259203
[eval 01890]  loss = 2.036513
[eval 01900]  loss = 3.218551
[eval 01910]  loss = 1.187393
[eval 01920]  loss = -4.732699
[eval 01930]  loss = 0.128725
[eval 01940]  loss = -5.389499
[eval 01950]  loss = 1.380648
[eval 01960]  loss = 2.748389
[eval 01970]  loss = -5.300378
[eval 01980]  loss = -4.289294
[eval 01990]  loss = -5.350618
[eval 02000]  loss = 2.115977
[eval 02010]  loss = -4.759743
[eval 02020]  loss = 1.910696
[eval 02030]  loss = -4.884092
[eval 02040]  loss = 0.422507
[eval 02050]  loss = -5.364734
[eval 02060]  loss = -0.384458
[eval 02070]  loss = 4.223749
[eval 02080]  loss = -4.868861
[eval 02090]  loss = 1.441274
[eval 02100]  loss = -3.878285
[eval 02110]  loss = -1.575800
[eval 02120]  loss = -3.510745
[eval 02130]  loss = -2.344666
[eval 02140]  loss = -5.267376
[eval 02150]  loss = -3.873955
[eval 02160]  loss = 5.476087
[eval 02170]  loss = -5.153174
[eval 02180]  loss = 2.937828
[eval 02190]  loss = -3.413832
[eval 02200]  loss = 2.794575
[eval 02210]  loss = -2.310190
[eval 02220]  loss = 2.914088
[eval 02230]  loss = -5.311380
[eval 02240]  loss = 0.360060
[eval 02250]  loss = -5.072022
[eval 02260]  loss = -5.359643
[eval 02270]  loss = 1.279619
[eval 02280]  loss = -4.972103
[eval 02290]  loss = -4.140657
[eval 02300]  loss = -3.530206
[eval 02310]  loss = -0.784404
[eval 02320]  loss = -5.317525
[eval 02330]  loss = 1.972017
[eval 02340]  loss = 4.236441
[eval 02350]  loss = -5.022709
[eval 02360]  loss = 0.228278
[eval 02370]  loss = -3.864532
[eval 02380]  loss = 0.409784
[eval 02390]  loss = -4.488491
[eval 02400]  loss = -2.735675
[eval 02410]  loss = -5.345464
[eval 02420]  loss = 0.529006
[eval 02430]  loss = -4.030338
[eval 02440]  loss = -5.189302
[eval 02450]  loss = 1.702248
[eval 02460]  loss = -0.100458
[eval 02470]  loss = -5.266595
[eval 02480]  loss = -2.279576
[eval 02490]  loss = -2.181384
[eval 02500]  loss = 2.641222
[eval 02510]  loss = -5.269201
[eval 02520]  loss = 2.290895
[eval 02530]  loss = 4.390184
[eval 02540]  loss = -4.005380
[eval 02550]  loss = -0.535763
[eval 02560]  loss = 2.096585
[eval 02570]  loss = -0.934567
[eval 02580]  loss = -3.906896
[eval 02590]  loss = 0.279675
[eval 02600]  loss = -5.217296
[eval 02610]  loss = 0.191354
[eval 02620]  loss = -0.744743
[eval 02630]  loss = -3.834729
[eval 02640]  loss = 0.239171
[eval 02650]  loss = 3.139056
[eval 02660]  loss = -2.658471
[eval 02670]  loss = -5.235906
[eval 02680]  loss = 0.072816
[eval 02690]  loss = -5.385979
[eval 02700]  loss = 3.611302
[eval 02710]  loss = 5.462366
[eval 02720]  loss = -4.177946
[eval 02730]  loss = 1.159333
[eval 02740]  loss = -5.117636
[eval 02750]  loss = -1.859173
[eval 02760]  loss = -3.974371
[eval 02770]  loss = 1.925879
[eval 02780]  loss = -5.245351
[eval 02790]  loss = -1.023054
[eval 02800]  loss = 4.023959
[eval 02810]  loss = -5.012913
[eval 02820]  loss = 0.063588
[eval 02830]  loss = 3.355436
[eval 02840]  loss = -2.110085
[eval 02850]  loss = -2.052071
[eval 02860]  loss = 2.860968
[eval 02870]  loss = -5.285151
[eval 02880]  loss = 1.007880
[eval 02890]  loss = 1.084452
[eval 02900]  loss = -4.468171
[eval 02910]  loss = 2.112718
[eval 02920]  loss = -1.903197
[eval 02930]  loss = 0.916980
[eval 02940]  loss = -4.408108
[eval 02950]  loss = 0.019705
[eval 02960]  loss = -5.348127
[eval 02970]  loss = -0.391111
[eval 02980]  loss = 0.043435
[eval 02990]  loss = -4.731687
[eval 03000]  loss = -1.657011
[eval 03010]  loss = 2.794156
[eval 03020]  loss = -1.222409
[eval 03030]  loss = -2.277296
[eval 03040]  loss = 1.373189
[eval 03050]  loss = -5.459452
[eval 03060]  loss = -0.739488
[eval 03070]  loss = -5.177636
[eval 03080]  loss = -3.945858
[eval 03090]  loss = -1.342307
[eval 03100]  loss = -1.971673
[eval 03110]  loss = -3.032260
[eval 03120]  loss = -4.736331
[eval 03130]  loss = 2.557275
[eval 03140]  loss = -5.341127
[eval 03150]  loss = 3.385232
[eval 03160]  loss = -0.992900
[eval 03170]  loss = -4.265650
[eval 03180]  loss = -1.074716
[eval 03190]  loss = -5.175081
[eval 03200]  loss = -2.753457
[eval 03210]  loss = -4.898775
[eval 03220]  loss = 1.882557
[eval 03230]  loss = -5.291358
[eval 03240]  loss = -1.519569
[eval 03250]  loss = 5.301805
[eval 03260]  loss = -4.221080
[eval 03270]  loss = 1.015835
[eval 03280]  loss = 3.054112
[eval 03290]  loss = 0.553056
[eval 03300]  loss = -2.477342
[eval 03310]  loss = -1.366082
[eval 03320]  loss = -5.312420
[eval 03330]  loss = 0.516536
[eval 03340]  loss = -4.490882
[eval 03350]  loss = -4.573834
[eval 03360]  loss = 1.260023
[eval 03370]  loss = -1.239782
[eval 03380]  loss = -1.085691
[eval 03390]  loss = -3.133396
[eval 03400]  loss = -0.390939
[eval 03410]  loss = -5.240565
[eval 03420]  loss = -2.362034
[eval 03430]  loss = 4.358587
[eval 03440]  loss = -4.066909
[eval 03450]  loss = -2.378255
[eval 03460]  loss = -3.373029
[eval 03470]  loss = -1.831430
[eval 03480]  loss = -2.124418
[eval 03490]  loss = 2.137089
[eval 03500]  loss = -5.310541
[eval 03510]  loss = 0.845886
[eval 03520]  loss = 5.170020
[eval 03530]  loss = -5.036010
[eval 03540]  loss = -1.428497
[eval 03550]  loss = 3.179699
[eval 03560]  loss = 0.310549
[eval 03570]  loss = -2.061231
[eval 03580]  loss = -0.714131
[eval 03590]  loss = -5.251129
[eval 03600]  loss = -2.263042
[eval 03610]  loss = -0.799379
[eval 03620]  loss = -4.440744
[eval 03630]  loss = 2.459212
[eval 03640]  loss = 2.903809
[eval 03650]  loss = 3.737882
[eval 03660]  loss = -5.275170
[eval 03670]  loss = 1.324770
[eval 03680]  loss = -5.315072
[eval 03690]  loss = 2.386806
[eval 03700]  loss = 3.955373
[eval 03710]  loss = -5.152423
[eval 03720]  loss = -1.967985
[eval 03730]  loss = 2.697960
[eval 03740]  loss = 2.203876
[eval 03750]  loss = -2.132888
[eval 03760]  loss = 3.821961
[eval 03770]  loss = -5.279290
[eval 03780]  loss = 1.684729
[eval 03790]  loss = -4.191565
[eval 03800]  loss = -5.351675
[eval 03810]  loss = 1.206920
[eval 03820]  loss = -3.918858
[eval 03830]  loss = 2.857516
[eval 03840]  loss = -5.066683
[eval 03850]  loss = -0.716587
[eval 03860]  loss = -5.275217
[eval 03870]  loss = -0.726424
[eval 03880]  loss = 5.001931
[eval 03890]  loss = -3.993521
[eval 03900]  loss = -1.479684
[eval 03910]  loss = 1.379276
[eval 03920]  loss = -0.771998
[eval 03930]  loss = -2.223180
[eval 03940]  loss = 3.312929
[eval 03950]  loss = -5.349458
[eval 03960]  loss = 0.823856
[eval 03970]  loss = -3.021365
[eval 03980]  loss = -4.695318
[eval 03990]  loss = 2.370257
[eval 04000]  loss = 0.582805
[eval 04010]  loss = 1.778714
[eval 04020]  loss = -2.042148
[eval 04030]  loss = -1.481955
[eval 04040]  loss = -5.274758
[eval 04050]  loss = -2.071422
[eval 04060]  loss = -0.169412
[eval 04070]  loss = -4.400074
[eval 04080]  loss = -2.024056
[eval 04090]  loss = -4.248792
[eval 04100]  loss = -2.852820
[eval 04110]  loss = -2.153125
[eval 04120]  loss = 3.249618
[eval 04130]  loss = -5.150001
[eval 04140]  loss = 2.012121
[eval 04150]  loss = 5.042282
[eval 04160]  loss = -4.567324
[eval 04170]  loss = -0.106499
[eval 04180]  loss = -5.103072
[eval 04190]  loss = -1.122072
[eval 04200]  loss = -2.076262
[eval 04210]  loss = 3.034579
[eval 04220]  loss = -5.211919
[eval 04230]  loss = -1.038727
[eval 04240]  loss = -1.102360
[eval 04250]  loss = -4.167303
[eval 04260]  loss = 1.232440
[eval 04270]  loss = -4.166213
[eval 04280]  loss = -1.971104
[eval 04290]  loss = -2.076221
[eval 04300]  loss = 0.778882
[eval 04310]  loss = -5.345478
[eval 04320]  loss = 2.276989
[eval 04330]  loss = -4.867197
[eval 04340]  loss = -4.861099
[eval 04350]  loss = 2.453788
[eval 04360]  loss = -2.295141
[eval 04370]  loss = -2.136392
[eval 04380]  loss = -5.071740
[eval 04390]  loss = -1.524850
[eval 04400]  loss = -5.368788
[eval 04410]  loss = 1.767770
[eval 04420]  loss = 1.994958
[eval 04430]  loss = -4.205318
[eval 04440]  loss = -3.337120
[eval 04450]  loss = -1.391251
[eval 04460]  loss = 1.689869
[eval 04470]  loss = -4.565440
[eval 04480]  loss = 0.562924
[eval 04490]  loss = -5.265373
[eval 04500]  loss = 2.719168
[eval 04510]  loss = 5.390426
[eval 04520]  loss = -4.381542
[eval 04530]  loss = -2.231635
[eval 04540]  loss = 3.112092
[eval 04550]  loss = -2.866987
[eval 04560]  loss = -2.550200
[eval 04570]  loss = 0.385013
[eval 04580]  loss = -5.248255
[eval 04590]  loss = -1.349391
[eval 04600]  loss = -2.937237
[eval 04610]  loss = -4.965071
[eval 04620]  loss = -3.059847
[eval 04630]  loss = -2.273167
[eval 04640]  loss = -0.953749
[eval 04650]  loss = -2.955853
[eval 04660]  loss = 1.187658
[eval 04670]  loss = -5.341479
[eval 04680]  loss = -0.681942
[eval 04690]  loss = -5.333235
[eval 04700]  loss = -4.013201
[eval 04710]  loss = -2.598072
[eval 04720]  loss = -0.908884
[eval 04730]  loss = -0.375907
[eval 04740]  loss = -2.218759
[eval 04750]  loss = -2.721402
[eval 04760]  loss = -5.311809
[eval 04770]  loss = -0.914945
[eval 04780]  loss = 4.634871
[eval 04790]  loss = -4.630061
[eval 04800]  loss = -2.119398
[eval 04810]  loss = 3.125581
[eval 04820]  loss = -3.079617
[eval 04830]  loss = -4.630231
[eval 04840]  loss = -1.380787
[eval 04850]  loss = -5.389118
[eval 04860]  loss = 2.939383
[eval 04870]  loss = -5.043189
[eval 04880]  loss = -5.269420
[eval 04890]  loss = -2.063387
[eval 04900]  loss = 3.208867
[eval 04910]  loss = -1.542444
[eval 04920]  loss = -4.756606
[eval 04930]  loss = -0.824835
[eval 04940]  loss = -5.429720
[eval 04950]  loss = 2.442618
[eval 04960]  loss = -1.311524
[eval 04970]  loss = -4.040756
[eval 04980]  loss = -0.707465
[eval 04990]  loss = -3.820090
[eval 05000]  loss = 0.213709
[eval 05010]  loss = -3.396955
[eval 05020]  loss = -0.045042
[eval 05030]  loss = -5.292414
[eval 05040]  loss = 2.995454
[eval 05050]  loss = 5.427359
[eval 05060]  loss = -4.253681
[eval 05070]  loss = -3.703260
[eval 05080]  loss = -3.896585
[eval 05090]  loss = 1.645174
[eval 05100]  loss = -4.196098
[eval 05110]  loss = 2.393162
[eval 05120]  loss = -5.263112
[eval 05130]  loss = -2.488755
[eval 05140]  loss = 0.401658
[eval 05150]  loss = -5.044384
[eval 05160]  loss = -1.470017
[eval 05170]  loss = -3.752242
[eval 05180]  loss = -2.145715
[eval 05190]  loss = -3.786063
[eval 05200]  loss = 1.403480
[eval 05210]  loss = -5.272744
[eval 05220]  loss = 1.525887
[eval 05230]  loss = -2.116778
[eval 05240]  loss = -5.333266
[eval 05250]  loss = -0.476926
[eval 05260]  loss = 3.124520
[eval 05270]  loss = 3.988403
[eval 05280]  loss = -5.294505
[eval 05290]  loss = -3.624757
[eval 05300]  loss = -5.321706
[eval 05310]  loss = -2.573826
[eval 05320]  loss = 2.136078
[eval 05330]  loss = -3.971498
[eval 05340]  loss = -0.813465
[eval 05350]  loss = -5.144876
[eval 05360]  loss = 2.271924
[eval 05370]  loss = -3.767340
[eval 05380]  loss = -0.551057
[eval 05390]  loss = -5.328027
[eval 05400]  loss = 0.718070
[eval 05410]  loss = 4.270758
[eval 05420]  loss = -5.237060
[eval 05430]  loss = 2.072698
[eval 05440]  loss = 3.063464
[eval 05450]  loss = 1.716971
[eval 05460]  loss = -3.809678
[eval 05470]  loss = 2.529762
[eval 05480]  loss = -5.278882
[eval 05490]  loss = -3.489546
[eval 05500]  loss = 3.954227
[eval 05510]  loss = -4.161051
[eval 05520]  loss = 2.942037
[eval 05530]  loss = -0.850508
[eval 05540]  loss = 2.471962
[eval 05550]  loss = -3.586374
[eval 05560]  loss = -3.202558
[eval 05570]  loss = -5.283216
[eval 05580]  loss = 1.175663
[eval 05590]  loss = -5.144242
[eval 05600]  loss = -4.206239
[eval 05610]  loss = 2.050209
[eval 05620]  loss = -0.524048
[eval 05630]  loss = -2.853991
[eval 05640]  loss = -4.803649
[eval 05650]  loss = 0.545414
[eval 05660]  loss = -5.386752
[eval 05670]  loss = 2.699831
[eval 05680]  loss = 4.358631
[eval 05690]  loss = -4.173129
[eval 05700]  loss = 1.614692
[eval 05710]  loss = -3.945245
[eval 05720]  loss = 2.700238
[eval 05730]  loss = -4.338099
[eval 05740]  loss = -0.591597
[eval 05750]  loss = -5.364729
[eval 05760]  loss = 4.155885
[eval 05770]  loss = -3.902084
[eval 05780]  loss = -4.385451
[eval 05790]  loss = 0.619193
[eval 05800]  loss = -5.192604
[eval 05810]  loss = -0.764156
[eval 05820]  loss = -4.689164
[eval 05830]  loss = -3.181718
[eval 05840]  loss = -5.316254
[eval 05850]  loss = 0.436545
[eval 05860]  loss = 0.654820
[eval 05870]  loss = -5.087512
[eval 05880]  loss = -0.257233
[eval 05890]  loss = 2.453263
[eval 05900]  loss = 1.028763
[eval 05910]  loss = -4.587387
[eval 05920]  loss = -1.921540
[eval 05930]  loss = -5.278021
[eval 05940]  loss = 2.740414
[eval 05950]  loss = -4.371310
[eval 05960]  loss = -4.471271
[eval 05970]  loss = -1.242442
[eval 05980]  loss = 3.064985
[eval 05990]  loss = -1.443847
[eval 06000]  loss = -2.012597
[eval 06010]  loss = -3.450574
[eval 06020]  loss = -5.422460
[eval 06030]  loss = 0.881294
[eval 06040]  loss = 0.025848
[eval 06050]  loss = -5.134568
[eval 06060]  loss = 3.798408
[eval 06070]  loss = 1.867393
[eval 06080]  loss = -2.340528
[eval 06090]  loss = -3.370054
[eval 06100]  loss = 2.896974
[eval 06110]  loss = -5.337868
[eval 06120]  loss = 0.485269
[eval 06130]  loss = 5.364067
[eval 06140]  loss = -4.667692
[eval 06150]  loss = 4.885395
[eval 06160]  loss = -4.691002
[eval 06170]  loss = -0.307349
[eval 06180]  loss = -4.376788
[eval 06190]  loss = -2.359591
[eval 06200]  loss = -5.292875
[eval 06210]  loss = -0.997989
[eval 06220]  loss = 2.467716
[eval 06230]  loss = -5.302473
[eval 06240]  loss = -0.601468
[eval 06250]  loss = -4.397097
[eval 06260]  loss = -2.318385
[eval 06270]  loss = -3.971095
[eval 06280]  loss = 1.761356
[eval 06290]  loss = -5.319352
[eval 06300]  loss = 2.543575
[eval 06310]  loss = -3.992548
[eval 06320]  loss = -4.331249
[eval 06330]  loss = -4.452539
[eval 06340]  loss = -2.769373
[eval 06350]  loss = 4.337044
[eval 06360]  loss = -3.371324
[eval 06370]  loss = 3.139102
[eval 06380]  loss = -5.255621
[eval 06390]  loss = -0.188077
[eval 06400]  loss = 3.188290
[eval 06410]  loss = -5.389319
[eval 06420]  loss = 0.107227
[eval 06430]  loss = -4.936904
[eval 06440]  loss = -0.081609
[eval 06450]  loss = -2.093721
[eval 06460]  loss = 2.578359
[eval 06470]  loss = -5.303640
[eval 06480]  loss = -1.815315
[eval 06490]  loss = 5.280795
[eval 06500]  loss = -4.100011
[eval 06510]  loss = -2.187012
[eval 06520]  loss = 0.404577
[eval 06530]  loss = -0.922659
[eval 06540]  loss = -4.901927
[eval 06550]  loss = -0.129866
[eval 06560]  loss = -5.362814
[eval 06570]  loss = -2.297582
[eval 06580]  loss = 5.383258
[eval 06590]  loss = -5.392968
[eval 06600]  loss = -0.026036
[eval 06610]  loss = -2.898104
[eval 06620]  loss = 2.139166
[eval 06630]  loss = -4.695444
[eval 06640]  loss = 1.287296
[eval 06650]  loss = -5.337218
[eval 06660]  loss = -3.239079
[eval 06670]  loss = 5.364430
[eval 06680]  loss = -4.346693
[eval 06690]  loss = 2.869164
[eval 06700]  loss = 2.233871
[eval 06710]  loss = -1.860450
[eval 06720]  loss = -1.997469
[eval 06730]  loss = 1.165031
[eval 06740]  loss = -5.285979
[eval 06750]  loss = -1.834495
[eval 06760]  loss = -4.991800
[eval 06770]  loss = -4.813048
[eval 06780]  loss = -2.399469
[eval 06790]  loss = -0.946218
[eval 06800]  loss = -1.792431
[eval 06810]  loss = -1.976875
[eval 06820]  loss = -2.344220
[eval 06830]  loss = -5.286749
[eval 06840]  loss = -0.441801
[eval 06850]  loss = 1.546201
[eval 06860]  loss = -4.923866
[eval 06870]  loss = -0.503627
[eval 06880]  loss = 3.348685
[eval 06890]  loss = 0.366964
[eval 06900]  loss = -4.834235
[eval 06910]  loss = -0.640467
[eval 06920]  loss = -5.331745
[eval 06930]  loss = -1.842110
[eval 06940]  loss = 1.892114
[eval 06950]  loss = -4.115008
[eval 06960]  loss = 1.447502
[eval 06970]  loss = -4.433984
[eval 06980]  loss = 3.672599
[eval 06990]  loss = -5.130718
[eval 07000]  loss = -0.359862
[eval 07010]  loss = -5.261112
[eval 07020]  loss = 0.309449
[eval 07030]  loss = -4.034730
[eval 07040]  loss = -4.082304
[eval 07050]  loss = -3.902897
[eval 07060]  loss = 3.037186
[eval 07070]  loss = -3.559613
[eval 07080]  loss = -3.832417
[eval 07090]  loss = -0.656467
[eval 07100]  loss = -5.266547
[eval 07110]  loss = 2.729821
[eval 07120]  loss = 2.529284
[eval 07130]  loss = -4.303050
[eval 07140]  loss = 0.845392
[eval 07150]  loss = -1.033598
[eval 07160]  loss = 0.185101
[eval 07170]  loss = -2.168571
[eval 07180]  loss = 1.431987
[eval 07190]  loss = -5.270639
[eval 07200]  loss = -1.573730
[eval 07210]  loss = 4.428590
[eval 07220]  loss = -4.901823
[eval 07230]  loss = -2.129051
[eval 07240]  loss = -3.257801
[eval 07250]  loss = 1.683498
[eval 07260]  loss = -3.030999
[eval 07270]  loss = -1.173211
[eval 07280]  loss = -5.194575
[eval 07290]  loss = -0.737867
[eval 07300]  loss = -5.344442
[eval 07310]  loss = -4.856693
[eval 07320]  loss = 0.198440
[eval 07330]  loss = 3.264711
[eval 07340]  loss = -3.130510
[eval 07350]  loss = -2.055796
[eval 07360]  loss = -1.773138
[eval 07370]  loss = -5.292261
[eval 07380]  loss = -1.637982
[eval 07390]  loss = 2.528511
[eval 07400]  loss = -4.634927
[eval 07410]  loss = -2.928355
[eval 07420]  loss = 3.108642
[eval 07430]  loss = -2.892759
[eval 07440]  loss = -2.441416
[eval 07450]  loss = 1.057701
[eval 07460]  loss = -5.211286
[eval 07470]  loss = 2.676661
[eval 07480]  loss = -4.967867
[eval 07490]  loss = -4.265397
[eval 07500]  loss = 1.927509
[eval 07510]  loss = 0.649603
[eval 07520]  loss = -1.204736
[eval 07530]  loss = -3.963018
[eval 07540]  loss = -1.745271
[eval 07550]  loss = -5.298561
[eval 07560]  loss = -0.338177
[eval 07570]  loss = -4.573598
[eval 07580]  loss = -4.565010
[eval 07590]  loss = -0.017931
[eval 07600]  loss = -5.386948
[eval 07610]  loss = -1.565689
[eval 07620]  loss = -2.964626
[eval 07630]  loss = 1.593689
[eval 07640]  loss = -5.306742
[eval 07650]  loss = -3.440323
[eval 07660]  loss = 3.269774
[eval 07670]  loss = -5.118312
[eval 07680]  loss = -3.215911
[eval 07690]  loss = 2.981339
[eval 07700]  loss = 0.372305
[eval 07710]  loss = -4.846689
[eval 07720]  loss = -0.032071
[eval 07730]  loss = -5.209125
[eval 07740]  loss = 1.111973
[eval 07750]  loss = 2.097394
[eval 07760]  loss = -4.911002
[eval 07770]  loss = -2.777326
[eval 07780]  loss = 0.459018
[eval 07790]  loss = -0.778446
[eval 07800]  loss = -4.743122
[eval 07810]  loss = -1.453237
[eval 07820]  loss = -5.244346
[eval 07830]  loss = -1.119377
[eval 07840]  loss = 3.877516
[eval 07850]  loss = -3.870120
[eval 07860]  loss = -0.845919
[eval 07870]  loss = 3.126913
[eval 07880]  loss = -2.001542
[eval 07890]  loss = -4.668223
[eval 07900]  loss = -1.393428
[eval 07910]  loss = -5.287812
[eval 07920]  loss = 1.618240
[eval 07930]  loss = -4.620473
[eval 07940]  loss = -4.079640
[eval 07950]  loss = -3.462047
[eval 07960]  loss = -3.079595
[eval 07970]  loss = 3.317686
[eval 07980]  loss = -2.470829
[eval 07990]  loss = -0.733079
[eval 08000]  loss = -5.373822
[eval 08010]  loss = 1.434313
[eval 08020]  loss = 3.998456
[eval 08030]  loss = -5.083576
[eval 08040]  loss = -3.552425
[eval 08050]  loss = -3.424995
[eval 08060]  loss = -0.268909
[eval 08070]  loss = -2.055756
[eval 08080]  loss = -2.851583
[eval 08090]  loss = -5.269311
[eval 08100]  loss = -1.926436
[eval 08110]  loss = -5.455858
[eval 08120]  loss = -5.286627
[eval 08130]  loss = 1.037210
[eval 08140]  loss = -5.249777
[eval 08150]  loss = 3.092989
[eval 08160]  loss = -2.866271
[eval 08170]  loss = -2.415141
[eval 08180]  loss = -5.339205
[eval 08190]  loss = 4.180453
